authors,title
"[Shengxiang Gao, Xiuzhen Yang, Zhengtao Yu 0001, Xiao Pan, Jianyi Guo]",Chinese-Naxi machine translation method based on Naxi dependency language model.
"[Soheila Gheisari, Mohammad Reza Meybodi, Mehdi Dehghan, Mohammad Mehdi Ebadzadeh]",Bayesian network structure training based on a game of learning automata.
"[Yujian Li, Qiangkui Leng, Yaozong Fu]",Cross kernel distance minimization for designing support vector machines.
"[Huanxiang Liu, Baohuai Sheng, Peixin Ye]",The improved learning rate for regularized regression with RKBSs.
"[Kurosh Madani, Dayana Hassan, Christophe Sabourin]",A dual approach for machine-awareness in indoor environment combining pseudo-3D imaging and soft-computing techniques.
"[Yufu Ning, Xiumei Chen, Zhiyong Wang, Xiangying Li]",An uncertain multi-objective programming model for machine scheduling problem.
"[Xinjun Peng, Lingyan Kong, Dongjing Chen]",A structural information-based twin-hypersphere support vector machine classifier.
"[Weiya Ren, Guohui Li]",Graph based semi-supervised learning via label fitting.
"[Lili Shan, Lei Lin, Chengjie Sun, Xiaolong Wang, Bingquan Liu]",Optimizing ranking for response prediction via triplet-wise learning from historical feedback.
"[Changxing Shang, Shengzhong Feng, Zhongying Zhao, Jianping Fan 0002]",Efficiently detecting overlapping communities using seeding and semi-supervised learning.
"[Yukui Zhang, Shiji Song, Keyou You, Xunan Zhang, Cheng Wu]",Relevance vector machines using weighted expected squared distance for ore grade estimation with incomplete data.
"[Yingxiu Zhao, Jinhai Li, Wenqi Liu, Weihua Xu]",Cognitive concept learning from incomplete information.
"[Qing Shen, Xiaojuan Ban, Ruoyi Liu, Yu Wang]",Decay-weighted extreme learning machine for balance and optimization learning.
"[Shifei Ding, Lili Guo, Yanlu Hou]",Extreme learning machine with kernel model based on deep learning.
"[Ömer Faruk Ertugrul, Mehmet Emin Tagluk]",A novel machine learning method based on generalized behavioral learning theory.
"[Pierre Baldi, Peter J. Sadowski, Zhiqin Lu]",Learning in the machine - The symmetries of the deep learning channel.
"[Jihun Kim, Jonghong Kim, Gil-Jin Jang, Minho Lee]",Fast learning method for convolutional neural networks using extreme learning machine and its application to lane detection.
"[Md. Zahangir Alom, Paheding Sidike, Tarek M. Taha, Vijayan K. Asari]",State Preserving Extreme Learning Machine - A Monotonically Increasing Learning Approach.
"[David Olalekan Afolabi, Sheng-Uei Guan, Ka Lok Man, Prudence W. H. Wong, Xuan Zhao]",Hierarchical Meta-Learning in Time Series Forecasting for Improved Interference-Less Machine Learning.
"[Wujie Zhou, Weiwei Qiu, Ming-Wei Wu]",Utilizing Dictionary Learning and Machine Learning for Blind Quality Assessment of 3-D Images.
